id,brand,review_id,score,at,content,reply_content,thumbs_up,review_created_version,sentiment_star,n_words,n_char
1,nike,4e0beb34-9bc6-4dfb-9f73-8cf3750571fa,5,2025-10-10T05:12:32Z,great!,NA,0,25.46.1,positive,1,6
2,nike,a944523b-a77a-4709-a77c-bd6c7e722be1,5,2025-10-10T03:59:34Z,excellent,NA,0,25.45.1,positive,1,9
3,nike,b6b37895-02bc-4986-9316-0a830b0ead7d,4,2025-10-10T03:36:42Z,"If I didn’t have to keep logging in, it would be better",NA,0,25.46.1,positive,12,55
4,nike,1b6d59fa-7c85-4f4a-8232-5710bd15c80d,2,2025-10-10T02:53:05Z,not user friendly,NA,0,NA,negative,3,17
5,nike,85e31a6e-4695-4aae-8af6-44dde7719610,5,2025-10-10T02:41:37Z,Amazing,NA,0,25.46.1,positive,1,7
6,nike,33c4ec27-92de-48d9-9139-1b9d77115d62,5,2025-10-10T02:03:13Z,Unbelievable. a must have for any sneaker head!!,NA,0,NA,positive,8,48
7,nike,d5ded6f8-33a8-487b-a399-f6a0b9a0fd1a,2,2025-10-10T01:42:01Z,"Today I get an error message - ""error parsing response from server"" . I tried to checkout, not working, third try at it still nothing. of course i tried all the usuals, money in account, card not locked etc etc STILL not able to checkout.",NA,2,25.46.1,negative,43,238
8,nike,55638977-73e2-4f5b-91dc-0c42bd27956f,1,2025-10-10T01:38:45Z,cant sign in. get the below error Error parsing response from server,NA,0,25.38.2,negative,12,68
9,nike,4ea8257a-1082-4172-af38-3bc2ce9d4837,5,2025-10-09T21:05:49Z,the best,NA,0,25.44.2,positive,2,8
10,nike,e6f60576-61a9-40af-8edf-d7a76678f51c,5,2025-10-09T19:58:52Z,yezzzirr,NA,0,25.46.1,positive,1,8
11,nike,39045deb-db25-4b81-9086-75634a03a6a5,1,2025-10-09T19:39:53Z,Gives ban to account and support team cannot fix the problem,NA,0,25.45.1,negative,11,60
12,nike,7d875be6-1335-4100-b8e7-1a770d45aca8,1,2025-10-09T19:14:07Z,Thieves at warehouse. I mailed back 2 pairs of sneakers 👟 and they said they only got one. corporate won't do anything about it.,NA,0,25.46.1,negative,23,128
13,nike,4a18642c-b1e5-4068-9626-c83e7413676f,5,2025-10-09T18:47:32Z,easy to use,NA,0,25.46.1,positive,3,11
14,nike,fc855f07-959d-48a0-b750-19bdb0995003,5,2025-10-09T17:44:14Z,great app,NA,0,25.45.1,positive,2,9
15,nike,7d8eb4e7-fbbf-4891-883d-fecf6d814d1f,4,2025-10-09T16:25:19Z,Amazing I love nike only thing is that it often doesn't have the limited editions,NA,0,25.45.1,positive,15,81
16,nike,7e31e8a0-54d5-4070-99d5-6350fca88d92,1,2025-10-09T15:43:52Z,Slow buffering of item even I have fast internet,NA,0,25.46.1,negative,9,48
17,nike,470b67c2-7264-4c84-ae55-0a9431323a9e,5,2025-10-09T14:56:02Z,"I've been a Nike lover for years . Now I got the app to purchase , I'm in heaven now. I can shop online and have it delivered to my front door. I don't get no better than this. Thanks Nike",NA,0,25.44.2,positive,39,188
18,nike,b37b1e65-57f3-420d-ab7b-d7ec8d4c8ddb,5,2025-10-09T12:55:07Z,love the shoes and the apparels,NA,0,25.46.1,positive,6,31
19,nike,111d1145-391e-4898-88e3-863520df9bb2,2,2025-10-09T11:04:44Z,How can i install nike app in hauwei,NA,0,25.18.3,negative,8,36
20,nike,80afa158-3d96-4b93-bca6-74f9a4cba211,5,2025-10-09T08:52:08Z,good,NA,0,25.45.1,positive,1,4
21,nike,13de47a1-97e6-470e-a56b-d9681210d1fa,5,2025-10-09T05:16:54Z,very good,NA,0,25.46.1,positive,2,9
22,nike,1fb13c6d-46db-4ef7-ac2e-e31d99028f35,5,2025-10-09T05:06:14Z,like it so much,NA,0,25.45.1,positive,4,15
23,nike,a3d16fe1-d7f2-48c6-8d2e-276722b52d1b,5,2025-10-09T01:45:15Z,"very easy to use, love it!",NA,0,25.46.1,positive,6,26
24,nike,e285b9af-4b12-4684-aa10-9828ed3f9c3a,4,2025-10-09T01:06:48Z,This app is amazing but not everything is available but its amazing overall,NA,0,25.39.2,positive,13,75
25,nike,5f2c4bfa-114a-4910-badc-bab931057ac2,4,2025-10-09T00:57:10Z,nice,NA,0,25.46.1,positive,1,4
26,nike,67d9a2fe-0dea-4b35-89fe-194970753e3e,5,2025-10-08T23:35:24Z,Good,NA,0,25.45.1,positive,1,4
27,nike,a9ad64bf-b756-417d-9b62-9fe43205a70c,1,2025-10-08T22:44:30Z,fix tablet experience,NA,0,25.46.1,negative,3,21
28,nike,3e03d1ac-0b4f-481d-99e4-5b16b67c4bb6,5,2025-10-08T20:41:21Z,"Great 👍 deals, mega quick free postage, thank you 😊",NA,0,25.45.1,positive,8,51
29,nike,756be943-ee11-4d7c-83c0-a11b07286f37,5,2025-10-08T20:02:07Z,I love dunks and can always find a good price for them,NA,0,25.37.1,positive,12,54
30,nike,49432383-0518-4cfc-8a29-9f707f06987f,5,2025-10-08T17:48:56Z,amazing,NA,0,25.45.1,positive,1,7
31,nike,34be13fb-d30d-4433-84fa-c3ceaeb06da7,5,2025-10-08T17:41:33Z,👍 great,NA,0,25.46.1,positive,1,7
32,nike,cff0b60f-b501-4582-873e-ae9992491190,5,2025-10-08T16:17:41Z,i love just doing it ( just do it ),NA,0,25.45.1,positive,8,35
33,nike,ebb4581f-fb17-4a06-98ed-db300b4b3fda,1,2025-10-08T16:02:38Z,high rates,NA,0,NA,negative,2,10
34,nike,13fd957e-2dc5-4f28-9bb4-6dce76cf52f2,5,2025-10-08T14:59:11Z,THANK YOU NIKE,NA,0,NA,positive,3,14
35,nike,3bcdfb8f-d6a3-4e0d-a498-47da2064313c,5,2025-10-08T14:37:55Z,king,NA,0,25.45.1,positive,1,4
36,nike,aa01de31-4d30-48e6-98ea-3b74661675c4,5,2025-10-08T11:30:54Z,I love this app,NA,0,25.44.2,positive,4,15
37,nike,d26e4203-1b5f-4bdb-8400-8f0a273dfde3,2,2025-10-08T10:16:27Z,"Return Process in the App was repetative. When trying to process a return I kept getting recycled to a new ""athlete"" service rep every few minutes in the chat and had to re-explain my issue to a different person from the very beginning. I must have restated myself about a dozen times. The chst function should be more persistent and not time out so fast. I also had issues uploading photos to the attachments section of the chat. Buying a product is easy and enjoyable but returning is a headache.",NA,0,25.45.1,negative,91,498
38,nike,f6c096ed-1a26-4a7a-b831-48b20d6c9075,5,2025-10-08T09:25:10Z,Stunning😉!!,NA,0,NA,positive,1,11
39,nike,b4e79189-0854-4f1b-8119-5eed69104879,5,2025-10-08T08:18:32Z,good,NA,0,25.45.1,positive,1,4
40,nike,b25e4e53-2fe4-46f6-b457-af0cd8f21c9f,5,2025-10-08T07:51:26Z,nice apps,NA,0,25.45.1,positive,2,9
41,nike,86521c41-813e-482c-8f59-84f6b28ad0f0,5,2025-10-08T06:58:24Z,very easy and efficient. The app gives great deals.,NA,0,25.45.1,positive,9,51
42,nike,09de00f7-a69d-4e86-af58-f478255d7b56,5,2025-10-08T06:39:55Z,good,NA,0,25.45.1,positive,1,4
43,nike,fb5caea3-f18f-45d7-9e31-bda44bcf076c,5,2025-10-08T06:35:18Z,things easier to find and affordable,NA,0,25.45.1,positive,6,36
44,nike,1ff3f3ff-de4f-422b-8dce-21b8668f6d39,1,2025-10-08T05:27:01Z,received constant error and the online reps were zero help,NA,0,NA,negative,10,58
45,nike,78f25f90-95f7-44fb-bac9-a71fc9b10328,5,2025-10-08T05:07:52Z,Fast and easy to use,NA,0,25.45.1,positive,5,20
46,nike,b57f0eaf-b6ec-4ac1-b2c4-bc9eea5c8a27,5,2025-10-08T04:48:01Z,So far an efficient and effective way of shopping for Nike items. Item is accurate and delivered on time.,NA,0,25.45.1,positive,19,105
47,nike,853b129a-b399-4a76-809d-82655452888c,5,2025-10-08T03:51:29Z,👍👍👍,NA,0,25.45.1,positive,0,3
48,nike,78d2c216-e022-4753-a917-56ab9bd5e451,5,2025-10-08T03:26:43Z,very nice,NA,0,NA,positive,2,9
49,nike,51e5c0f7-1748-4c85-9aa1-873eeaf5bfdf,5,2025-10-08T01:39:34Z,"Simple and easy to use, it's Nike...so...Just Do It...",NA,0,25.46.1,positive,11,54
50,nike,955b6cb1-8ecc-41cb-858d-6117a27b50df,5,2025-10-08T00:59:36Z,The floating menu gets in the way of find your running shoe,NA,0,25.45.1,positive,12,59
51,nike,8f5ffe36-b693-4f3d-acef-803f30b35bc8,5,2025-10-07T22:04:29Z,Wauw after i got this app i reach about 20+ great kicks. And so much other cool stuff I can only remember paying full price for 3 things. Love this app...,NA,2,25.45.1,positive,31,154
52,nike,4977f594-b2ed-4450-b6e3-393508be4198,1,2025-10-07T21:39:35Z,"Always get check out problems.. Kalana, card or PayPal nightmare... Same issues 2 year on every time you check out says network error, and you have to go to website to pay such a hassle.. On a different phone to..",NA,1,25.45.1,negative,40,213
53,nike,1a534733-b1bf-45f3-a635-2865b48b3f32,5,2025-10-07T20:56:56Z,good,NA,0,25.45.1,positive,1,4
54,nike,3b0cfbb1-21c2-472e-9657-2bed74c3d0cd,5,2025-10-07T20:38:06Z,this app is great,NA,0,NA,positive,4,17
55,nike,5e9263ba-53a8-48f3-8f6a-1f258eb4f3f7,5,2025-10-07T18:44:59Z,I had a great time my first time ordering they had the size I wanted and they fit great.,NA,0,25.45.1,positive,19,88
